optimiser,folder_unf,folder_lr,folder_dropout,num_seeds,best_val_loss,best_val_loss_std,total_train_time_s,total_train_time_s_std,total_val_time_s,total_val_time_s_std,accuracy,accuracy_std,tn,tn_std,fp,fp_std,fn,fn_std,tp,tp_std,f1_score,f1_score_std
AdamW,0,0.0005,0.15,10,0.25636,0.02575,1794.743,457.86654,130.008,33.25834,0.90634,0.01188,199.1,5.04315,27.9,5.04315,17.9,3.3483,244.1,3.3483,0.91427,0.01052
AdamW,0,0.0005,0.2,10,0.25505,0.02113,1856.466,510.37097,134.824,36.7996,0.90736,0.01129,199.4,5.37897,27.6,5.37897,17.7,2.79086,244.3,2.79086,0.91521,0.00969
AdamW,0,0.0005,0.25,10,0.25437,0.02116,1734.607,487.92996,125.83,35.68932,0.90798,0.01153,199.8,5.0728,27.2,5.0728,17.8,3.04777,244.2,3.04777,0.91568,0.01015
AdamW,0,0.005,0.15,10,0.23048,0.02257,950.847,242.48154,68.851,17.58247,0.9184,0.01337,202.1,5.66569,24.9,5.66569,15.0,2.90593,247.0,2.90593,0.92533,0.01171
AdamW,0,0.005,0.2,10,0.23282,0.02343,884.736,264.65957,64.02,19.16386,0.91677,0.01216,201.8,5.53373,25.2,5.53373,15.5,2.36878,246.5,2.36878,0.92381,0.01052
AdamW,0,0.005,0.25,10,0.23065,0.01907,884.46,150.50398,64.103,10.90796,0.918,0.00917,202.8,4.84883,24.2,4.84883,15.9,2.5144,246.1,2.5144,0.92471,0.00793
AdamW,1,0.0001,0.15,10,0.15293,0.02412,434.997,26.65364,30.277,1.85523,0.9409,0.00912,211.2,4.1042,15.8,4.1042,13.1,2.64365,248.9,2.64365,0.94516,0.00822
AdamW,1,0.0001,0.2,10,0.14881,0.02002,447.211,32.99866,31.155,2.26254,0.94479,0.00997,212.8,3.04777,14.2,3.04777,12.8,3.58391,249.2,3.58391,0.9486,0.0094
AdamW,1,0.0001,0.25,10,0.15386,0.02386,452.314,25.11977,31.502,1.76433,0.94438,0.01015,212.2,4.46716,14.8,4.46716,12.4,3.77712,249.6,3.77712,0.94834,0.00925
AdamW,1,0.0005,0.15,10,0.15838,0.03015,383.512,58.96609,26.726,4.10071,0.94683,0.00983,212.1,3.44642,14.9,3.44642,11.1,2.80674,250.9,2.80674,0.95075,0.00907
AdamW,1,0.0005,0.2,10,0.15602,0.03041,365.892,42.81965,25.538,2.96689,0.94029,0.00968,210.1,3.28126,16.9,3.28126,12.3,4.62,249.7,4.62,0.94472,0.0092
AdamW,1,0.0005,0.25,10,0.15489,0.02648,369.418,19.81936,25.726,1.40507,0.94233,0.01028,212.5,3.56682,14.5,3.56682,13.7,4.76212,248.3,4.76212,0.94622,0.00978
AdamW,1,0.005,0.15,10,0.17629,0.02319,591.137,126.65685,41.215,8.8868,0.9319,0.01177,208.2,4.18463,18.8,4.18463,14.5,2.63523,247.5,2.63523,0.937,0.0107
AdamW,1,0.005,0.2,10,0.16994,0.02579,542.975,115.81225,37.86,8.06397,0.93476,0.0108,208.6,3.09839,18.4,3.09839,13.5,3.56682,248.5,3.56682,0.93967,0.01009
AdamW,1,0.005,0.25,10,0.17092,0.03143,599.765,154.85768,41.727,10.86651,0.93538,0.01189,209.1,4.28045,17.9,4.28045,13.7,4.98999,248.3,4.98999,0.94014,0.01123
AdamW,2,0.0001,0.15,10,0.15663,0.03068,389.257,31.3078,26.138,2.09427,0.94601,0.01133,210.6,3.1693,16.4,3.1693,10.0,3.05505,252.0,3.05505,0.95023,0.01046
AdamW,2,0.0001,0.2,10,0.14879,0.02283,389.815,27.98143,26.156,1.87553,0.94744,0.00795,211.1,4.28045,15.9,4.28045,9.8,2.34758,252.2,2.34758,0.95155,0.00701
AdamW,2,0.0001,0.25,10,0.15493,0.02365,375.632,32.61849,25.196,2.21054,0.94499,0.01009,211.1,3.72529,15.9,3.72529,11.0,4.52155,251.0,4.52155,0.94911,0.00943
AdamW,2,0.0005,0.15,10,0.15442,0.03224,351.548,23.72832,23.597,1.59639,0.94622,0.00935,211.5,3.2059,15.5,3.2059,10.8,3.45768,251.2,3.45768,0.95025,0.00867
AdamW,2,0.0005,0.2,10,0.15977,0.03438,392.924,47.11929,26.365,3.14766,0.94581,0.01138,211.7,4.92274,15.3,4.92274,11.2,3.45768,250.8,3.45768,0.94985,0.01038
AdamW,2,0.0005,0.25,10,0.16245,0.02889,387.934,89.16768,25.979,5.98364,0.94335,0.00905,211.1,5.23768,15.9,5.23768,11.8,3.67575,250.2,3.67575,0.94758,0.00806
AdamW,2,0.005,0.15,10,0.37866,0.27057,819.844,247.03973,55.008,16.55184,0.75562,0.19398,112.7,100.14107,114.3,100.14107,5.2,7.65652,256.8,7.65652,0.82871,0.11687
AdamW,2,0.005,0.2,10,0.3036,0.21025,690.985,151.01963,46.433,10.23194,0.75235,0.21914,169.1,89.78301,57.9,89.78301,63.2,105.81619,198.8,105.81619,0.69482,0.37826
AdamW,2,0.005,0.25,10,0.25656,0.16578,644.049,119.32086,43.291,8.10103,0.7499,0.2183,190.5,68.01838,36.5,68.01838,85.8,110.68353,176.2,110.68353,0.65513,0.39558
SGD,0,0.0001,0.15,10,0.57747,0.00783,5423.508,53.51738,393.494,2.45549,0.80552,0.02178,149.8,7.69993,77.2,7.69993,17.9,5.95259,244.1,5.95259,0.83699,0.01785
SGD,0,0.0001,0.2,10,0.57764,0.00847,5417.274,36.03397,392.732,0.99736,0.79796,0.02711,146.6,12.83398,80.4,12.83398,18.4,4.94862,243.6,4.94862,0.83168,0.01967
SGD,0,0.0001,0.25,10,0.57677,0.00775,5424.693,23.56318,393.503,1.3916,0.80757,0.01939,150.4,7.0111,76.6,7.0111,17.5,4.47834,244.5,4.47834,0.83868,0.01556
SGD,0,0.0005,0.15,10,0.41798,0.01294,5411.404,31.21722,392.971,1.31285,0.87117,0.01397,186.0,6.03692,41.0,6.03692,22.0,4.96655,240.0,4.96655,0.88399,0.01231
SGD,0,0.0005,0.2,10,0.41783,0.01196,5432.11,41.52718,393.343,1.95854,0.87321,0.01407,186.7,6.92901,40.3,6.92901,21.7,4.19126,240.3,4.19126,0.8858,0.01186
SGD,0,0.0005,0.25,10,0.41831,0.01246,5425.804,30.46189,393.069,1.06359,0.87117,0.01417,186.2,5.6921,40.8,5.6921,22.2,4.80278,239.8,4.80278,0.8839,0.01258
SGD,0,0.005,0.15,10,0.32457,0.02088,2557.382,546.42283,185.799,39.87327,0.89162,0.01512,194.5,6.63744,32.5,6.63744,20.5,3.53553,241.5,3.53553,0.9012,0.01304
SGD,0,0.005,0.2,10,0.32219,0.02271,2606.883,505.60184,189.085,36.62331,0.89162,0.01493,194.7,6.23699,32.3,6.23699,20.7,3.26769,241.3,3.26769,0.90112,0.01294
SGD,0,0.005,0.25,10,0.32743,0.02976,2498.909,726.22072,181.734,52.87111,0.89059,0.01596,194.4,6.39792,32.6,6.39792,20.9,3.44642,241.1,3.44642,0.90021,0.01389
SGD,1,0.0001,0.15,10,0.40865,0.05387,5619.894,15.92524,392.619,0.71874,0.83252,0.0172,176.2,14.52813,50.8,14.52813,31.1,6.96738,230.9,6.96738,0.84965,0.01027
SGD,1,0.0001,0.2,10,0.4034,0.05323,5627.913,35.10163,392.598,1.63539,0.84315,0.01992,178.6,11.50072,48.4,11.50072,28.3,7.73233,233.7,7.73233,0.85912,0.0164
SGD,1,0.0001,0.25,10,0.42334,0.05682,5621.562,55.44772,392.719,2.40126,0.83395,0.02482,177.2,11.82089,49.8,11.82089,31.4,6.65332,230.6,6.65332,0.85048,0.02004
