optimiser,folder_unf,folder_lr,folder_dropout,num_seeds,best_val_loss,best_val_loss_std,total_train_time_s,total_train_time_s_std,total_val_time_s,total_val_time_s_std,accuracy,accuracy_std,tn,tn_std,fp,fp_std,fn,fn_std,tp,tp_std,f1_score,f1_score_std
AdamW,0,0.0005,0.15,10,0.25334,0.02393,362.908,210.32905,80.236,46.93479,0.90757,0.0126,199.6,5.50151,27.4,5.50151,17.8,3.45768,244.2,3.45768,0.91534,0.01113
AdamW,0,0.0005,0.2,10,0.25384,0.02207,380.167,261.0292,84.108,58.22473,0.90818,0.01109,199.5,5.12619,27.5,5.12619,17.4,2.67499,244.6,2.67499,0.91598,0.00962
AdamW,0,0.0005,0.25,10,0.25737,0.02231,336.312,211.74716,74.353,47.17152,0.90634,0.01019,199.0,4.83046,28.0,4.83046,17.8,3.19026,244.2,3.19026,0.91429,0.00894
AdamW,0,0.005,0.15,10,0.23119,0.02074,218.449,61.32495,48.258,13.72895,0.9184,0.00886,203.0,4.37163,24.0,4.37163,15.9,2.99815,246.1,2.99815,0.92504,0.00785
AdamW,0,0.005,0.2,10,0.23021,0.01951,170.265,84.94574,37.58,18.99131,0.9184,0.00999,202.8,4.26354,24.2,4.26354,15.7,1.82878,246.3,1.82878,0.92511,0.00873
AdamW,0,0.005,0.25,10,0.22802,0.02029,185.173,71.58811,40.859,15.99479,0.91902,0.00998,202.6,4.92612,24.4,4.92612,15.2,2.52982,246.8,2.52982,0.92578,0.00871
AdamW,1,0.0001,0.15,10,0.15591,0.02307,74.316,8.18506,14.595,1.62687,0.94233,0.007,211.4,2.17051,15.6,2.17051,12.6,3.27278,249.4,3.27278,0.94647,0.00667
AdamW,1,0.0001,0.2,10,0.15002,0.02303,82.698,27.92271,16.33,5.68946,0.94479,0.00915,213.0,3.94405,14.0,3.94405,13.0,2.78887,249.0,2.78887,0.94859,0.00832
AdamW,1,0.0001,0.25,10,0.15013,0.02339,81.256,31.33096,16.027,6.35621,0.94458,0.01163,211.9,4.01248,15.1,4.01248,12.0,4.02768,250.0,4.02768,0.94858,0.01082
AdamW,1,0.0005,0.15,10,0.14998,0.02448,78.473,31.4048,15.499,6.38965,0.94499,0.00961,211.6,3.06232,15.4,3.06232,11.5,3.53553,250.5,3.53553,0.94903,0.00894
AdamW,1,0.0005,0.2,10,0.15605,0.02365,62.615,9.73922,12.272,1.93739,0.94376,0.01224,211.7,3.16403,15.3,3.16403,12.2,4.68568,249.8,4.68568,0.94778,0.01157
